Identifer,File Name,Title,Contributor,creator,date,description,format,Language,publisher,relation,rights,subject,subject,subject,Coverage,type,Source
fmnp_hd_0002,out (1).pdf,"""City Starts Lifting Donna Debris As Relief Programs Are Mapped""",Jewell Dean; Pete Packett; Dorothy Rountree; Chesley F. Perry,Fort Myers News Press,1960-09-12,Newspaper Article on the aftermath of Hurricane Donna towards Fort Myers.,1 pg.,eng,Arthur P. Finch,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Fort Myers news-press,Hurricane damage,Collier County,Text,Hurricane Donna Collection
fhn_hd_0001,20250709134820101.pdf,"Florida Health Notes Vol. 54 No. 4 ""Hurricane Donna""",,Florida State Board of Health,1961-04,"An article on Hurricane Donna and how it impacted the state of Florida, from preparations to the aftermath and cleanup. ",6 pgs.,eng,Florida State Board of Health,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Health boards,Hurricane damage,Florida,Text,Hurricane Donna Collection
ccpe_hd_0001,20250709134354058.pdf,Collier County Photograph Exhibit: 1926 & 1960 Hurricanes,,Unknown,Unkown,A write up of a Collier County photograph exhibit on the Hurricanes of 1926 and 1960. ,3 pgs.,eng,Unkown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Exhibitions,Photograph captions,Collier County,Text,Hurricane Donna Collection
ccmr_hd_0001,20250709134214423.pdf,"""Donna Was The Worst Storm Storm We Ever Had",,Unknown,1989,Recount of a member of Collier County who experienced Hurricane Donna and what they had witnessed. ,4 pgs.,eng,Unkown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Hurricane damage,Storm surges,Collier County,Text,Hurricane Donna Collection
ccm_hd_0001,2013274-1.jpg,Flooded Steet After Hurricane Donna,,Unknown,1960-09-10,"Black and White Photocraph of Street Flooded after Hurricane Donna, September 10, 1960. ",4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Roads--Flood damage,Storm surges,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0002,2013275-1.jpg,Two Residents Outside Flooded House on Boat,,Unknown,1960-09-10,Black and White Photograph of two Collier County Residents outside of their flooded home getting transported by boat. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Roads--Flood damage,Storm surges,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0003,2013277-1.jpg,Street Flooded during Hurricane Donna,,Unknown,1960-09-10,"Black and White Photograph of a street flooded during Hurricane Donna, with a house and trees.",4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Hurricane Donna, 1960",Roads--Flood damage,Storm surges,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0004,202517166-1.jpeg,Sky View of town,,Unknown,Unknown,Black and White Photograph of Collier County Town from Above.,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Florida, South",Cities and towns--Pictorial works,Beaches--Florida,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0005,0165-1.jpg,Man Posing with Car,,Unknown,Unknown,Black and White Photograph of an unidentified male posing with a vehicle.,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Florida, South",Motor vehicles,Portrait photography--Posing,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0006,006155b-1.jpg,Three men in front of water,,Unknown,Unknown,"Black and White photograph of three men in front of a river, the man in the middle holds an object similar to a camera in his hand. ",4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Portrait photography--Posing,"Florida, South",Rivers--Florida,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0007,00641-1.jpg,Celebration in Collier county,,Unknown,Unknown,Black and White photograph of a group of townspeople celebrating an unidentified event by shooting a target. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Targets (Shooting),"Florida, South",Special events,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0008,00688-1.jpg,Collier County Fair,,Unknown,Unknown,"Black and white photograph with members of the community and a sign that says, ""Collier County Fair Tamiami Position""",4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Tamiami Trail (Fla.),Fairgoers,"Florida, South",Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0009,202517276-1.jpeg,Building Road,,Unknown,Unknown,Black and white photograph of group of men at work building a major road. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Road construction workers,"Florida, South",Road work zones,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0010,822713-1.jpg,Two Men with Alcohol,,Unknown,Unknown,"Black and white photograph of two unidentified men standing over a box, one man holds an unidentified alcohol bottle. ",4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Florida, South",Alcohol,Men,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0011,00638-1.jpg,Celebration in front of Eerglades Inn,,Unknown,Unknown,Black and White Photograph of a group of Collier County residents in front of the Everglades Inn. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Florida, South",Florida--Everglades,Special events,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0012,8624-1.jpg,Unidentified Man,,Unknown,Unknown,Black and White Photograph of an unidentified man in what looks to be a military uniform. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Military uniforms,"Florida, South",Portrait photography--Posing,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0013,202517231-1.jpeg,Unidentified Mansion,,Unknown,Unknown,Black and White Photograph of an unidentified mansion from a corner view with a flag at the top. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ","Florida, South",Mansions,Flags,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0014,20197294-1.jpg,Notice Sign,,Unknown,Unknown,"Black and white Photograph of sign saying, ""Notice to all Piscamanics I will -mind your baby -cash your check -crank your motor  But I will not Go Fishing.""",4x4,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Fishing,Sign painting,"Florida, South",Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0015,20152525-1.jpg,Tomato Box,,Unknown,Unknown,Colored photograph of a box of tomatoes from Estrada & Sons Inc. produced in Estrada Farm. ,4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Farm produce,Tomatoes,Food supply,Collier County,Photograph,Hurricane Donna Collection
ccm_hd_0016,2014202-1.jpg,Chokoloskee Island Park Restaurant,,Unknown,Unknown,"Colored photograph of the Chokoloskee Island Park with Stone Crabs being sold, and a vending machine out front of building. ",4x6,,Unknown,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""15"" width=""15"" alt=""In Copyright - Educational Use Permitted"" /> <a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted </a> ",Crabbing,Florida--Chokoloskee Island,Parks,Collier County,Photograph,Hurricane Donna Collection